timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/02 16:47:14.576, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:19.577, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:24.577, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:29.578, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:34.578, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:39.579, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:44.580, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:49.580, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:54.581, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:59.581, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:04.582, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:09.582, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:14.583, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:19.584, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:24.584, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:29.585, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:34.585, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:39.586, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:44.586, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:49.587, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:54.588, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:48:59.588, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:04.589, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:09.589, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:14.590, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:19.590, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:24.591, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:29.592, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:34.592, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:39.593, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:44.593, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:49.594, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:54.594, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:49:59.595, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:04.595, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:09.596, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:14.596, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:19.597, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:24.597, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:29.598, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:34.599, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:39.599, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:44.600, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:49.600, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
